umd_tree_cover_loss__year,gfw_gross_emissions_co2e_all_gases__Mg
2001,4853282277.979451
2002,6066359862.08115
2003,5057738980.84288
2004,7485305887.585949
2005,7410967319.926653
2006,7084939935.307783
2007,7601689764.527449
2008,7487137958.879162
2009,7457379749.86232
2010,8060714926.148867
2011,7590799083.523663
2012,9917384952.443203
2013,8175172581.651467
2014,10287548827.218386
2015,8976253833.86363
2016,13838200433.774446
2017,13127777282.299202
2018,10868217909.140816
2019,10401786436.381186
2020,10674085279.15769
2021,10776152472.292072
2022,10520358923.71051
2023,13493070433.222952
