umd_tree_cover_loss__year,umd_tree_cover_loss__ha
2001,991738.9961499621
2002,2664577.30103657
2003,2486990.3879011865
2004,3398617.1367523298
2005,3329539.1597210867
2006,2813543.437515218
2007,2904253.07265389
2008,2713685.0760212154
2009,2801437.0921953814
2010,3306113.9939504047
2011,2750624.84713041
2012,3596144.8610900147
2013,2639101.58405283
2014,3587363.784889027
2015,2932063.160705561
2016,6128135.980709921
2017,5001644.3008628115
2018,3648015.2577381846
2019,3751047.963508477
2020,4209903.251061812
2021,3749200.5460366635
2022,4116764.8216371075
2023,3737837.316982966
